section,experiment_name,experiment_type,num_bands,geometry,metric,stage1_value,stage2_value,improvement_amount,interpretation,tectonic_band_number,band_type,stage,value,computed_from_map_long
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,3.0,fast band,Stage 1,107.14916,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,3.0,fast band,Stage 1,110.25469,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,3.0,fast band,Stage 1,0.74791133,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,false_positive_ratio,,,,band-level metric,3.0,fast band,Stage 1,0.33705685,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,3.0,fast band,Stage 1,0.0,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,3.0,fast band,Stage 2,58.087402,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,3.0,fast band,Stage 2,106.03491,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,3.0,fast band,Stage 2,107.37047,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,3.0,fast band,Stage 2,0.7326078,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,false_positive_ratio,,,,band-level metric,3.0,fast band,Stage 2,0.36498687,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,3.0,fast band,Stage 2,0.0,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,4.0,slow band,Stage 1,59.475464,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,4.0,slow band,Stage 1,102.52326,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,4.0,slow band,Stage 1,104.45266,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,4.0,slow band,Stage 1,0.75186986,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,false_positive_ratio,,,,band-level metric,4.0,slow band,Stage 1,0.3300174,
